   8x  Rope
   1x  Pile of Leaflets
   1x  Warrant Papers
   1x  10 Sheets of Parchment
   1x  2 Dwarf Throwing Axes
   1x  1d10 Rags
   1x  Main-gauche or Pistol with 10 Shots
   1x  Trade Tools (Engraver)
   1x  Main Gauche or Sword-breaker
   1x  Commission Papers
   1x  Weapon (Any One)
   1x  Speedy Barge
   1x  Mask or Scarves
   1x  Gang of Thugs and Racketeers
   1x  Deck of Cards or Dice
   1x  Pole for Dead Rats
   1x  Jewellery worth 50 GC
   1x  Draught Horses and Wagon (Stage)
   1x  Sling with 10 Bullets
   1x  Book (Cryptography)
   1x  Great Weapon or Halberd
   1x  Bow with 10 Arrows or Crossbow with 10 Bolts or Shield
   1x  Followers (including Penitents, Flagellants, and Zealots)
   1x  Fiefdom
   1x  Draught Horse and Wagon
   1x  Townhouse with Discreet Back Entrance
   1x  Troupe of Entertainers
   1x  Gang of Racketeers
   1x  Seal of Office
   1x  Gang of Stevedores
   1x  4d10 Shillings
   1x  Minions
   1x  Squire
   1x  Sling Bag containing Clothing and 1d10 Bandages
   1x  Flail or Great Weapon
   1x  Cottage
   1x  Keys
   1x  Fishing Rod and Bait
   1x  Boathand
   1x  Townhouse with Servants
   1x  Quality Livery
   1x  Quality Hand Weapon
   1x  Hiding Place
   1x  Barding
   1x  Open Helm (Miner's Helm)
   1x  Stolen Goods worth 1d10 Shillings
   1x  Sack of Poisoned Bait
   1x  Workshop (Artist)
   1x  Small Lock Box
   1x  Crossbow with 10 Bolts
   1x  3 Apprentices
   1x  Musical Instrument
   1x  Large Workshop (Engineer)
   1x  Large Group of Beggar Followers
   1x  None
   1x  Loft of Homing Pigeons
   1x  Subordinate High Priests
   1x  Small Fleet of Barges
   1x  Library (Engineering)
   1x  Modest Shop
   1x  Copper Badge
   1x  Ring of Spies and Informers
   1x  Book (Apothecary)
   1x  Coach Horn
   1x  Grappling Hook and Rope
   1x  Tattoos
   1x  Eyeglass
   1x  Large Workshop (Artist)
   1x  Trade Tools (Tinker)
   1x  Hand Weapon (Pick)
   1x  Bow with 10 Arrows or Hand Weapon
   1x  Great Weapon (Dwarf Greataxe)
   1x  Trusty Second
   1x  Inn or Townhouse
   1x  Staff of Advisers and Aides
   1x  20 GC
   1x  Governor's Residence
   1x  2 Sets of Clothing
   1x  Pots and Pans
   1x  Fleet of Coaches and Horses
   1x  Pauper Follower
   1x  Book (Engineer)
   1x  Small Tent
   1x  Warm Coat
   1x  Garotte
   1x  Quality Rapier
   1x  Small Riverboat
   1x  Shipping Charts
   1x  Goods worth 8d20 Pennies
   1x  Coach or Riding Horse
   1x  Jewellery worth 3d10 GC
   1x  Great Weapon (Two-handed Pick)
   1x  Wardrobe of Costumes and Props
   1x  Plumed Great Helm
   1x  Barge or Hut
   1x  Library (Law)
   1x  Coach and Footman
   1x  Bailiff
   1x  Rod of Office
   1x  Staff of Custodians
   1x  Brush
   1x  2 Barrels
   1x  Keg of Ale
   1x  3 Tax Collectors
   1x  Crude Map
   1x  Sturdy Crate
   1x  Tattered Robes
   1x  Assistant (Student or Servant)
   1x  Crossbow with 10 Bolts or Pistol with 10 Shots or 5 Throwing Knives
   1x  Backpack or Handcart
   1x  200 GC
   1x  Trinkets and Charms
   1x  Letter of Appointment
   1x  Fence Contact
   1x  Pamphleteer
   1x  5 Throwing Knives
   1x  2 sets of Quality Courtly Garb
   1x  Trade Tools (Apothecary)
   1x  Workshop (Magic)
   1x  Trade Tools (Farrier)
   1x  Workshop (Physician)
   1x  Fine Clothes
   1x  Tomes of Forbidden Knowledge
   1x  Study
   1x  Temple
   1x  Sextant
   1x  Lantern and Oil
   1x  Bow with 10 Arrows or Pistol with 10 Shots
   1x  Subordinate Interrogators
   1x  Leather Skullcap
   1x  Porter Cap
   1x  Poor Quality Blanket
   1x  Hammer and Spikes
